,model,fuel,km_driven,resale_val
555,2014,Petrol,"29,646","3,00,000"
556,2012,Diesel,"89,091","3,40,000"
557,2013,Diesel,"99,397","2,89,000"
558,2013,Diesel,"1,02,566","3,41,000"
559,2011,Diesel,"1,06,928","1,74,627"
560,2009,Petrol + CNG,"74,791","2,20,000"
561,2012,Diesel,"49,930","3,43,000"
562,2013,Diesel,"1,57,724","3,25,000"
563,2012,Petrol,"67,190","2,70,000"
564,2012,Petrol,"39,496","3,00,000"
565,2011,Diesel,"55,652","2,90,000"
566,2010,Diesel,"71,322","1,75,000"
567,2013,Diesel,"90,218","2,24,000"
568,2014,Diesel,"71,240","3,20,000"
569,2010,Diesel,"1,09,468","1,60,000"
570,2011,Diesel,"1,54,052","1,60,000"
571,2015,Diesel,"86,195","4,01,000"
572,2011,Diesel,"1,16,444","2,20,000"
573,2009,Petrol,"1,24,681","1,50,000"
574,2014,Diesel,"83,609","2,50,000"
575,2014,Diesel,"1,00,770","3,65,000"
576,2009,Petrol,"17,352","2,00,000"
577,2012,Diesel,"80,317","3,00,000"
578,2009,Petrol + CNG,"1,29,912","1,96,000"
579,2010,Petrol + CNG,"87,979","1,75,000"
580,2009,Petrol,"78,671","1,67,000"
581,2011,Petrol + CNG,"98,621","2,30,000"
582,2011,Diesel,"1,92,371","1,80,000"
583,2012,Diesel,"70,391","2,20,000"
584,2018,Petrol + CNG,"13,120","5,00,000"
585,2012,Diesel,"1,15,952","3,52,000"
586,2011,Petrol,"43,315","3,00,000"
587,2010,Diesel,"1,43,497","2,10,000"
588,2013,Diesel,"86,441","3,20,000"
589,2014,Diesel,"99,014","2,65,000"
590,2010,Petrol,"74,958","1,80,000"
591,2012,Diesel,"72,551","3,00,000"
592,2014,Diesel,"78,894","3,71,000"
593,2011,Petrol + CNG,"47,594","2,40,000"
594,2010,Petrol,"80,835","2,00,000"
595,2014,Diesel,"1,47,724","4,00,000"
596,2009,Petrol + CNG,"88,717","1,52,000"
597,2015,Diesel,"91,048","3,00,000"
598,2010,Petrol,"1,28,391","1,81,000"
599,2012,Diesel,"86,209","2,40,000"
600,2010,Diesel,"1,26,734","1,50,000"
